"module","file","method","path"
"intellicare-wanda",".\intellicare-wanda\wanda\api\nise_routes.py","GET","/api/v1/chat/patient/session/{session_id}"
"intellicare-wanda",".\intellicare-wanda\wanda\api\resilience_routes.py","POST","/api/v1/circuit/{agent_name}/reset"
"intellicare-wanda",".\intellicare-wanda\wanda\api\event_routes.py","GET","/api/v1/events/coordinations"
"intellicare-wanda",".\intellicare-wanda\wanda\api\event_routes.py","POST","/api/v1/events/simulate"
"intellicare-wanda",".\intellicare-wanda\wanda\api\event_routes.py","GET","/api/v1/events/stream"
"intellicare-wanda",".\intellicare-wanda\wanda\api\app.py","GET","/api/v1/health"
"intellicare-wanda",".\intellicare-wanda\wanda\api\resilience_routes.py","GET","/api/v1/health/agents/{agent_name}"
"intellicare-wanda",".\intellicare-wanda\wanda\api\resilience_routes.py","GET","/api/v1/health/ecosystem"
"intellicare-wanda",".\intellicare-wanda\wanda\api\app.py","GET","/api/v1/info"
"intellicare-wanda",".\intellicare-wanda\wanda\api\ips_routes.py","GET","/api/v1/ips/{patient_id}"
"intellicare-wanda",".\intellicare-wanda\wanda\api\ips_routes.py","DELETE","/api/v1/ips/{patient_id}/cache"
"intellicare-wanda",".\intellicare-wanda\wanda\api\ips_routes.py","GET","/api/v1/ips/{patient_id}/validate"
